#{"t_start": 1767168425.75513, "env_id": "highway-v0"}
r,l,t
3.816987,5,8808.640223
5.728075,7,8809.299895
6.202741,7,8809.932998
2.935141,4,8810.335622
17.705852,20,8812.164437
3.850225,5,8812.640817
11.202741,12,8813.755431
11.039185,12,8814.823059
6.039186,7,8815.442673
2.936086,4,8815.799661
2.039988,3,8816.114442
3.705875,5,8816.562823
0.999437,2,8816.740644
10.360097,12,8817.808319
13.202741,15,8819.14181
12.039185,13,8820.319698
10.539115,12,8821.398951
14.949056,16,8822.924606
6.861408,8,8823.639955
6.771278,8,8824.375547
12.039185,13,8825.534048
10.31292,12,8826.614813
14.757364,16,8828.037668
1.906655,3,8828.307087
2.039988,3,8828.577494
4.119274,5,8829.021298
1.839988,3,8829.295894
8.549062,10,8830.17529
8.711837,10,8831.072782
7.067912,8,8831.801452
5.172519,6,8832.353736
4.039209,5,8832.817718
17.815723,20,8834.590558
1.97958,3,8834.855567
1.173321,2,8835.04111
1.839988,3,8835.322052
2.026697,3,8835.597478
11.202741,12,8836.689489
6.505852,8,8837.421668
11.336074,13,8838.589036
6.847185,8,8839.301042
16.105852,18,8840.942767
5.905853,7,8841.587822
4.932809,6,8842.146689
13.860167,15,8843.522905
5.110587,6,8844.073963
11.837945,13,8845.253273
2.039988,3,8845.531116
4.772523,6,8846.073275
8.039185,9,8846.888157
16.772519,19,8848.674603
18.505852,21,8850.616183
2.072402,3,8850.901244
13.039185,14,8852.240758
3.705875,5,8852.733714
10.069408,11,8853.773669
11.039185,12,8854.956246
17.082136,19,8856.773309
9.339115,11,8857.796007
9.793507,11,8858.841831
4.905856,6,8859.39668
3.816987,5,8859.873566
7.039185,8,8860.611728
2.638493,4,8860.990127
9.394741,11,8861.996758
2.252623,3,8862.276323
11.971278,13,8863.487306
10.505852,12,8864.587307
7.839185,9,8865.403007
1.306655,2,8865.599615
3.928098,5,8866.062656
2.156314,3,8866.338796
18.039185,19,8868.112004
5.605782,7,8868.767367
5.039189,6,8869.313258
6.505852,8,8870.054123
1.906655,3,8870.340006
